WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (95.3028865 5.5539526)",1.0,0.0,Provinsi Aceh,11.0,1.0,4.695135,96.7493993,1.0
"POINT (98.6668362 3.6167795)",2.0,0.0,Provinsi Sumatera Utara,12.0,1.0,2.1153547,99.5450974,1.0
"POINT (100.3615328 -0.9258474)",3.0,0.0,Provinsi Sumatera Barat,13.0,1.0,-0.7399397,100.8000051,1.0
"POINT (101.4234867 0.5039746)",4.0,0.0,Provinsi Riau,14.0,1.0,0.2933469,101.7068294,1.0
"POINT (103.6026439 -1.5982852)",5.0,0.0,Provinsi Jambi,15.0,1.0,-1.4851831,102.4380581,1.0
"POINT (104.756648 -2.9530246)",6.0,0.0,Provinsi Sumatera Selatan,16.0,1.0,-3.3194374,103.914399,1.0
"POINT (102.2513256 -3.7929847)",7.0,0.0,Provinsi Bengkulu,17.0,1.0,-3.5778471,102.3463875,1.0
"POINT (105.2779146 -5.393913)",8.0,0.0,Provinsi Lampung,18.0,1.0,-4.5585849,105.4068079,1.0
"POINT (106.1125474 -2.1288145)",9.0,0.0,Provinsi Kepulauan Bangka Belitung,19.0,1.0,-2.7410513,106.4405872,1.0
"POINT (104.4637502 0.930963)",10.0,0.0,Provinsi Kepulauan Riau,21.0,1.0,3.9456514,108.1428669,1.0
